,id,Metacyc_ID,SMILES,KEGG_ID
422,422,CPD-9284,CCCCCCCCC,
423,423,CPD-654,O=CCCC(=O)C(=O)O,C00410
424,424,CPD-473,O=CC(=O)CCC(=O)O,C02612
425,425,CPD-612,CC(=O)CC(=O)C(=O)O,C01987
426,426,CPD-13414,O=C1CCC(C(=O)O)O1,
427,427,2-OXOHEXANOATE,CCCCC(=O)C(=O)O,C00858
428,428,CPD-7030,CC(C)C(=O)CC(=O)O,C03223
429,429,6-OXO-HEXANOATE,O=CCCCCC(=O)O,C05798
430,430,2K-4CH3-PENTANOATE,CC(C)CC(=O)C(=O)O,C00224
431,431,2-KETO-3-METHYL-VALERATE,CCC(C)C(=O)C(=O)O,C00635
432,432,CPD-7706,CCCC(=O)CC(=O)O,C01970
433,433,5-OXOHEXANOATE,CC(=O)CCCC(=O)O,C01984
434,434,CPD-7619,CCCCCCC(=O)O,C17112
435,435,CPD-23624,CCCCC(C)C(=O)O,
436,436,CPD-20282,CC(C)CCCC(=O)O,
437,437,CPD-562,O=C(O)C1OC1C(=O)O,C03300
438,438,OXALACETIC_ACID,O=C(O)CC(=O)C(=O)O,C00034
439,439,ENOL-OXALOACETATE,O=C(O)C=C(O)C(=O)O,C03730
440,440,GLUTARATE,O=C(O)CCCC(=O)O,C00464
441,441,CPD-2461,CC(CC(=O)O)C(=O)O,
442,442,CPD-15381,CC1(C)COC(=O)C1O,C00952
443,443,CPD-15810,CC1OC(O)CCC1=O,
444,444,PROPIONIC-ANHYDRIDE,CCC(=O)OC(=O)CC,
445,445,ETHYL-ACETOACETATE,CCOC(=O)CC(C)=O,C03242
446,446,CPD-23605,COC(=O)C(C)C(C)=O,
447,447,CPD-25877,CC1(O)CCOC(=O)C1,
448,448,6-HYDROXYHEXAN-6-OLIDE,O=C1CCCCC(O)O1,C03046
449,449,CPD-19626,CC(=O)OCCC(C)C,C12011
450,450,CPD-19956,CCCCOC(=O)CC,
451,451,CPD-19624,CCC(C)COC(C)=O,
452,452,OCTANOL,CCCCCCCCO,C00716
453,453,CPD-18995,CCCCCCC(C)O,
454,454,2-ETHYLHEXAN-1-OL,CCCCC(CC)CO,C02321
455,455,CPD-3572,COC(=O)CCC(=O)O,
456,456,CPD-231,CC(C)(O)C(=O)C(=O)O,C03929
457,457,CPD-9727,O=C(O)C(=O)CCCO,
458,458,CPD-25855,CCOC(=O)CC(=O)O,
459,459,2-HYDROXYMETHYL-4-OXOBUTANOATE,O=CCC(CO)C(=O)O,C03855
460,460,4-HYDROXY-2-KETOVALERATE,CC(O)CC(=O)C(=O)O,C03341
461,461,CPD-13943,O=C(O)CCC(=O)CO,
462,462,2-ACETO-LACTATE,CC(=O)C(C)(O)C(=O)O,C00857
463,463,CPD-14442,CC(O)C=C(O)C(=O)O,
464,464,CPD-17912,CCC(C)C(O)C(=O)O,
465,465,CPD-102,O=C(O)CCCCCO,C05799
466,466,CPD-17492,CC(C)CC(O)C(=O)O,C03059
467,467,MAL,O=C(O)CC(O)C(=O)O,C00144
468,468,CPD-25408,COC(C(=O)O)C(=O)O,
469,469,DEOXYRIBONOLACTONE,O=C1CC(O)C(CO)O1,C02485
470,470,CPD-10773,CC1(O)OCC(O)C1=O,
471,471,DIHYDROXYPENTANEDIONE,CC(=O)C(=O)C(O)CO,C11565
472,472,CPD-22288,O=C1CC(O)C(O)CO1,
473,473,CPD-23606,COC(=O)C(C)C(C)O,
474,474,CPD-12959,CC1OC(O)CCC1O,
475,475,CPD-21628,CCOC(=O)CC(C)O,C03241
476,476,CPD-11898,CC1OCC(O)C1(C)O,
477,477,1-INDANONE,O=C1CCc2ccccc21,C01399
478,478,2INDANONE,O=C1Cc2ccccc2C1,C07434
479,479,CINNAMALDEHYDE,O=CC=Cc1ccccc1,C00859
480,480,CPD-10096,c1ccc2c(c1)CC1OC21,
481,481,CPD-24785,CCCC(C)(O)CCO,
482,482,CPD-19883,O=C(O)C(=O)C(O)CO,C21496
483,483,CPD-13061,O=CC(O)C(O)C(=O)O,
484,484,CPD-363,O=C(O)C(O)C(=O)CO,C02876
485,485,CPD-13357,CC(C)(O)C(O)C(=O)O,C03788
486,486,CPD-22232,OC1CC(O)C(O)CO1,C02590
