,cpd_id,SMILES
99,C6e4ca5ca852d180b98d2cdab980c6bab08420b7c,CC(=O)CC(CO)C(=O)O
100,C1a57898e0bfe71090a576ba3f989c9054db16acc,CC(=O)CC(O)C(=O)C(=O)O
101,C7359a181ea41194ac998019a1d322fe94e233ec6,CC(=O)CC(O)C(=O)O
102,C9a457989fd22a54e48b5e151cf9cd21d615e8485,CC(=O)CC(O)CC(=O)C(=O)C(=O)O
103,C4ed187f3d00a543d4191db2727e78c0d6800b9ba,CC(=O)CC(O)CC(=O)C(=O)O
104,C119571c5ad859cd68b2853c8b594f777cee8728c,CC(=O)CC(O)CC(=O)CC(=O)O
105,Cd4c0ece82b781df8cb2ec6613211b0bd22dff269,CC(=O)CC(O)CC(=O)O
106,C130820e58e5990b3034641f829fd229c81fd919f,CC(=O)CC(O)CC(C)(C)C(=O)O
107,C8e33ecb85e901b2d39e7862689a4323fcdbd75e3,CC(=O)CC(O)CCCCCC(=O)O
108,C9d1ac6577f5d4d634b143a97334b3f6798f8c494,CC(=O)CC(O)c1ccccc1C(=O)O
109,C1af20a99d76d46098667b4faa7798d16fdb47a57,CC(=O)CC(OCCO)C(=O)C(=O)O
110,Cd89f111c8548a711d8041eb8f2cf50f12ccf0973,CC(=O)CC(OCCO)C(=O)O
111,Cad4e3d9f1bfd543e81e3e8472a0f87a601fa1705,CC(=O)CCC(=O)CC(O)C(=O)O
112,C499a44467ca753596eae4398cec2cf9709fccc67,CC(=O)CCC(=O)CC(O)CC(=O)O
113,Cb5e83d48af3ce593b0388793adeb7b2b456feb7c,CC(=O)CCC(C)(OCCO)C(=O)O
114,C7576e8f8bbdd2e4a83ff3e1d67a80bf1c98870e2,CC(=O)CCC(CC(=O)O)C(C)(C)CO
115,Cd4a905deddc351f835a20feab16cfd7534e19cd2,CC(=O)CCC(CC(=O)O)C(C)(C)OCCO
116,C0d7f92113e73ae4a6f010db58ee99794ec6eb5bc,CC(=O)CCC(CCCCO)C(=O)O
117,C6dcd53da751cda17bf08a6640acb175671403ec4,CC(=O)CCC(CCO)C(=O)O
118,C81ef195b4fe9c014e702b057f7e7509a143b89ce,CC(=O)CCC(CO)C(=O)O
119,Ce1800142ea1edfb2276fdf312d9b364c94fbb21e,CC(=O)CCC(O)C(=O)O
120,C1d5542bc661e2f302e650308f15a0a808abea8ba,CC(=O)CCC(O)CC(=O)O
121,C316d0a62a8e11d9fb57fe3756be62f0b305d5fb2,CC(=O)CCC(O)CCCC(=O)O
122,Ccda679eb6e53c335d8a91f81407fb839e956422f,CC(=O)CCC(O)CCCCC(=O)O
123,Cd4dd10ba57c7e79c8fa3f9da7741bcb2a9c749f2,CC(=O)CCC(O)CCCCCC(=O)O
124,C5109ff57e1de5bcc7aa3613f1bad68c6127dd5c2,CC(=O)CCC(OCCO)C(=O)O
125,C0134bdbeffc362a05c756ae0df1417a226e01a7f,CC(=O)CCCC(C)(C)C(=O)C(O)CC(=O)O
126,C2aacc45deacf7da26df7e5871f5c03d1c2d7a613,CC(=O)CCCC(C)(C)C(O)CC(=O)O
127,C6e57e38021e0c41db6b194ebf015f88179047d20,CC(=O)CCCC(CCCO)C(=O)O
128,Cd99f7e997ca5b712ce77121638e7eea2c166508d,CC(=O)CCCC(CO)C(=O)O
129,C46efbe6e7e6610c7d542388bf3092917d3353d7d,CC(=O)CCCC(O)C(=O)O
130,Ca5ba40c46882486d40b38168bae70d54f525d19c,CC(=O)CCCC(O)CCC(=O)O
131,C53a3992d24c5f2c291515a80da76a1f0cac24834,CC(=O)CCCC(O)CCCC(=O)O
132,C4ab2e3ef787d1f1eecd4ca21797dc4db395ecbca,CC(=O)CCCC(O)CCCCC(=O)O
133,C5e47e91b87f59407f117a74beab6ba73d6aa95d7,CC(=O)CCCCC(CCO)C(=O)O
134,Cd101d9e68be0fe0a554d6dc75fc2222a719bcf3e,CC(=O)CCCCC(O)C(=O)O
135,Cc838cd4ef8012d211e3fb52376a0baeb03a2093b,CC(=O)CCCCC(O)CCC(=O)O
136,Ca2e9cab581b091d34f9123407c724417fdf4bd5d,CC(=O)CCCCCC(CO)C(=O)O
137,Cfe28d0846ebabe518c420b1584f610b2923bef25,CC(=O)CCCCCC(O)CCC(=O)O
138,Cd687a5d8ec337c72242b8742437c90b36d1656ea,CC(=O)CCCCCCC(O)C(=O)O
139,C8665f475998115f859c500ef4cfa797e4846d79f,CC(=O)CCOC(O)CC(=O)O
140,C74e8e442ca9bdaf4d6adff22d8d377d822161a9c,CC(=O)COC(O)CC(=O)O
141,C6468db9e5ed4e69e766ee59cab0d0218d7e45264,CC(=O)c1cc(C(=O)O)c(OC(C)O)c(=O)o1
142,C635e7f4760b381a4253a18ead2967fbbcadf24bc,CC(=O)c1cccc(C(O)CC(=O)O)c1
